"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CNTY","Century Casinos, Inc.","3.33","80346619.62","n/a","1977","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cnty",
"HOTR","Chanticleer Holdings, Inc.","2.3099","8544079.8704","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/hotr",
"HOTRW","Chanticleer Holdings, Inc.","0.35","0","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/hotrw",
"CACG","Chart Acquisition Corp.","9.53","92917500","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cacg",
"CACGU","Chart Acquisition Corp.","10.15","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cacgu",
"CACGW","Chart Acquisition Corp.","0.49","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cacgw",
"CHFN","Charter Financial Corp.","9.98","182409849.2","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/chfn",
"CHTP","Chelsea Therapeutics International, Ltd.","1.87","125449237.98","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/chtp",
"CEMI","Chembio Diagnostics, Inc.","4.51","41880374.14","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemi",
"CHEV","Cheviot Financial Corp","11.4","82507796.4","n/a","2004","Finance","Savings Institutions","http://www.nasdaq.com/symbol/chev",
"CADC","China Advanced Construction Materials Group, Inc.","0.31","5530233.84","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
