"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BANC","First PacTrust Bancorp, Inc.","13.64","148399462.64","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banc",
"BANCL","First PacTrust Bancorp, Inc.","25.91","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bancl",
"BICK","First Trust Exchange-Traded Fund II First Trust BICK Index Fun","23.7292","30848007.4584","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bick",
"CU","First Trust Exchange-Traded Fund II First Trust ISE Global Cop","23.86","34597047.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cu",
"PLTM","First Trust Exchange-Traded Fund II First Trust ISE Global Pla","11.9862","9588983.9724","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pltm",
"CARZ","First Trust Exchange-Traded Fund II First Trust NASDAQ Global ","35.989","17994571.978","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/carz",
"HYLS","First Trust Exchange-Traded Fund IV First Trust High Yield Lon","51.5","25750103","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hyls",
"FTSL","First Trust Exchange-Traded Fund IV First Trust Senior Loan Fu","50","25000100","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftsl",
"TDIV","First Trust Exchange-Traded Fund VI First Trust NASDAQ Technol","22.66","121344300","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tdiv",
"MDIV","First Trust Exchange-Traded Fund VI Multi-Asset Diversified In","21.67","434483543.34","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mdiv",
"SKYY","First Trust ISE Cloud Computing Index Fund","21.908","95299843.816","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/skyy",
"QABA","First Trust NASDAQ ABA Community Bank Index Fund","29.65","16307559.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qaba",
"FONE","First Trust NASDAQ CEA Smartphone Index Fund","28.75","12937557.5","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/fone",
"GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ","33.2424","11634906.4848","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grid",
"QCLN","First Trust NASDAQ Clean Edge U.S. Liquid Series Index Fund","14.6501","43950329.3002","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qcln",
"QQEW","First Trust NASDAQ-100 Equal Weighted Index Fund","30.8853","142072441.7706","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqew",
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund","30.05","61602560.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqxt",
"QTEC","First Trust NASDAQ-100-Technology Sector Index Fund","29.57","119758559.14","n/a","1984","n/a","n/a","http://www.nasdaq.com/symbol/qtec",
"SVVC","Firsthand Technology Value Fund, Inc.","19.8","169418304","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/svvc",
"FLML","Flamel Technologies S.A.","4.88","117331255.2","24043290","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flml",
"FES","Forbes Energy Services Ltd","3.46","73914156.58","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/fes",
"FEIM","Frequency Electronics, Inc.","10.27","86637791.89","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/feim",
"FFN","FriendFinder Networks Inc.","0.3401","11163021.0161","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ffn",
"FCEL","FuelCell Energy, Inc.","1.38","261476223.12","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/fcel",
"FFHL","Fuwei Films (Holdings) Co., Ltd.","0.97","12670625","n/a","2006","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ffhl",
"GAIA","Gaiam, Inc.","4.1","71095414.5","n/a","1999","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gaia",
"GPIC","Gaming Partners International Corporation","8.32","66162004.48","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/gpic",
"GKNT","Geeknet, Inc.","14.38","95150202.34","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/gknt",
"GENC","Gencor Industries Inc.","7.04","67005804.8","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/genc",
"GFN","General Finance Corporation","4.48","99707659.52","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/gfn",
"GFNCL","General Finance Corporation","4.2499","0","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/gfncl",
"GFNCP","General Finance Corporation","103.4877","0","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/gfncp",
"GFNCZ","General Finance Corporation","0.14","0","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/gfncz",
